municipio,numero_escolas_trabalha,tipo_escola,niveis_escola,idade,sexo,formacao,area_ed_inf,area_ef_finais,area_ef_iniciais,area_ens_medio,area_ens_tec,contrato,tempo_escola,tempo_profissao,hrs_semanais,numero_professores,supervisiona,licenca_2semanas,licenca_ano,quantotempo,scv,saude,exaustao
Passo Fundo,1,1,2,64,2,2,0,1,0,0,0,1,13,40,20,35,1,1,1,,7,1,"5,2"
Tapejara,1,1,1,45,2,,1,0,0,0,0,1,26,26,30,18,1,1,,,4,1,"5,2"
Passo Fundo,2,1,1,39,2,2,1,0,0,0,0,1,5,16,30,15,1,1,1,,3,1,"5,2"
Passo Fundo,1,1,1,35,2,2,1,0,0,0,0,1,9,15,30,11,1,1,2,7,3,1,"5,2"
Erechim,1,1,1,36,2,2,1,0,0,0,0,1,6,17,20,20,1,1,2,,5,4,"5,25"
Passo Fundo,1,1,1,44,2,2,1,0,0,0,0,1,2,5,30,13,1,1,1,,6,1,"5,25"
Passo Fundo,2,3,2,38,1,2,1,1,1,0,0,1,16,20,27,27,2,1,1,,5,5,"5,4"
Ibirubá,1,2,2,44,2,2,0,1,1,0,0,1,5,"24,6",50,23,1,1,1,,6,5,"5,4"
Passo Fundo,1,3,4,51,2,2,0,1,1,1,0,1,3,20,60,64,2,1,1,,5,4,"5,4"
Erechim,1,1,5,51,,0,0,0,0,0,0,1,28,28,60,30,1,1,1,,2,4,"5,4"
Passo Fundo,1,1,2,34,1,2,0,1,1,0,0,1,4,9,40,23,1,1,1,,5,4,"5,4"
Ibirubá,1,1,2,27,2,2,0,0,1,0,0,1,"0,5",3,20,16,1,1,1,,6,4,"5,4"
Sananduva,1,1,2,31,2,2,0,1,0,0,0,1,5,7,20,,1,1,1,,7,4,"5,4"
Ibirubá,1,1,2,29,2,2,0,1,0,0,0,2,4,6,20,,1,1,1,,5,4,"5,4"
Passo Fundo,1,3,5,35,2,2,0,1,1,0,0,,2,20,30,67,1,1,1,,5,3,"5,4"
Passo Fundo,1,3,4,45,2,3,1,0,1,0,0,1,21,,36,64,2,1,1,,6,3,"5,4"
Erechim,1,1,2,34,2,1,1,1,1,0,0,1,4,17,32,50,2,1,2,10,4,3,"5,4"
Sananduva,1,1,2,37,2,2,0,0,1,0,0,1,4,4,20,27,1,1,2,180,6,3,"5,4"
Espumoso,1,1,1,50,2,2,1,0,0,0,0,1,"0,5",28,40,26,2,1,1,,6,3,"5,4"
Getúlio Vargas,2,1,2,31,2,2,0,0,1,0,0,1,"0,6","0,6",40,25,1,1,1,,6,3,"5,4"
Sananduva,2,1,2,38,2,2,0,1,1,1,0,1,9,15,40,24,1,1,2,2,3,3,"5,4"
Passo Fundo,1,1,1,26,2,2,1,0,0,0,0,3,5,10,30,10,1,1,2,15,6,3,"5,4"
Marau,1,1,1,31,2,2,1,0,0,0,0,1,1,7,40,8,1,1,1,,3,3,"5,4"
Erechim,2,1,2,42,2,1,0,1,0,1,0,1,6,24,,137,1,1,2,15,5,2,"5,4"
Erechim,1,1,2,44,2,2,0,1,0,0,0,1,2,,20,137,1,1,2,3,1,2,"5,4"
Erechim,1,1,2,37,2,2,1,0,1,0,0,1,2,11,40,52,1,1,2,15,4,2,"5,4"
Getúlio Vargas,1,1,2,48,2,3,1,0,1,0,0,1,14,28,20,43,1,1,1,,6,2,"5,4"
Sananduva,2,1,2,29,2,2,0,1,0,0,0,1,2,10,40,25,2,1,1,,6,2,"5,4"
Ibirubá,2,1,1,33,2,2,1,0,0,0,0,1,5,5,20,4,1,1,2,60,1,2,"5,4"
Erechim,1,1,2,51,2,1,0,0,1,0,0,1,14,24,40,137,1,1,2,15,5,1,"5,4"
Tapejara,1,1,5,23,2,1,0,1,0,0,0,3,"0,5",3,20,40,1,1,1,,6,1,"5,4"
Passo Fundo,1,1,1,56,2,2,1,0,1,0,0,1,4,29,50,15,1,2,2,30,2,1,"5,4"
Erechim,1,1,2,35,2,2,2,1,0,0,0,1,9,10,40,71,1,1,1,,4,5,"5,6"
Sananduva,2,1,3,39,2,2,0,1,0,1,0,,7,17,25,57,1,1,1,,5,5,"5,6"
Getúlio Vargas,1,1,2,38,2,2,0,1,0,0,0,1,4,15,20,38,1,1,1,,7,5,"5,6"
Erechim,2,1,1,37,2,2,1,0,0,0,0,1,3,18,40,23,1,2,2,7,6,5,"5,6"
Tapejara,4,1,2,32,1,3,0,0,1,0,0,1,10,12,60,50,1,1,1,,5,4,"5,6"
Passo Fundo,1,1,1,28,2,2,1,0,1,0,0,1,6,8,30,18,1,1,1,,5,4,"5,6"
Passo Fundo,1,1,1,28,2,6,1,0,0,0,0,1,7,13,,13,1,2,2,2,6,4,"5,6"
Passo Fundo,1,1,1,52,2,2,1,0,0,0,0,1,5,,30,9,1,1,1,,4,4,"5,6"
Erechim,1,1,2,40,,2,1,1,0,0,0,1,5,7,40,137,1,1,1,,5,3,"5,6"
Erechim,2,1,2,33,2,2,1,0,1,0,0,1,5,10,8,80,1,1,2,7,2,3,"5,6"
Tapejara,1,1,2,42,2,2,0,1,1,0,0,1,19,,14,55,2,1,1,,4,3,"5,6"
Marau,1,1,2,43,2,2,0,1,0,0,0,1,4,10,25,47,1,1,1,,6,3,"5,6"
Marau,2,1,2,37,2,1,0,1,0,0,0,1,"0,5",,20,35,1,1,2,50,4,3,"5,6"
Tapera,1,1,2,47,2,1,0,1,1,0,0,1,18,23,40,24,1,1,1,,5,3,"5,6"
Erechim,1,1,3,37,2,2,0,1,0,0,0,1,7,15,20,15,1,1,2,7,5,3,"5,6"
Passo Fundo,1,1,2,35,2,1,1,0,0,0,0,1,14,14,30,13,1,1,1,,5,3,"5,6"
Passo Fundo,1,1,1,50,2,2,1,1,1,0,0,1,4,11,50,6,2,1,1,,5,3,"5,6"
Erechim,1,1,2,39,2,2,1,0,0,0,0,1,11,20,40,137,1,1,2,180,5,2,"5,6"
Erechim,1,1,2,32,2,2,1,0,0,0,0,1,9,14,40,137,1,1,1,,5,2,"5,6"
Estação,1,1,3,38,2,2,0,0,1,1,0,1,4,4,50,22,1,1,1,,3,2,"5,6"
Tapera,2,1,2,38,2,2,1,0,1,0,0,1,9,14,22,21,1,1,1,,4,2,"5,6"
Passo Fundo,1,1,2,46,2,2,0,1,0,0,0,1,,,20,19,1,1,1,,3,2,"5,6"
Passo Fundo,1,1,1,33,2,2,1,0,0,0,0,1,3,9,30,14,1,1,1,,4,2,"5,6"
Passo Fundo,1,1,2,39,2,5,1,0,0,0,0,1,5,,30,13,2,1,1,,4,2,"5,6"
Passo Fundo,1,3,4,41,2,2,0,0,1,0,0,1,17,17,25,56,1,1,1,,3,1,"5,6"
Ibirubá,1,1,4,32,2,3,0,0,0,1,0,1,3,13,45,30,1,1,1,,5,1,"5,6"
Passo Fundo,2,1,2,33,2,2,0,1,0,0,0,1,5,9,20,27,1,1,2,15,6,1,"5,6"
Tapera,2,1,2,22,2,4,0,0,1,0,0,1,"0,4",3,40,21,2,1,1,,5,1,"5,6"
Passo Fundo,1,1,1,28,2,1,1,0,0,0,0,1,5,5,44,14,2,1,2,3,7,4,"5,8"
Erechim,2,1,2,45,2,1,0,0,1,0,0,1,1,,20,52,1,1,1,,6,3,"5,8"
Passo Fundo,1,1,2,56,2,3,0,1,0,0,0,1,6,25,20,23,1,1,1,,5,3,"5,8"
Sananduva,2,1,1,30,2,6,1,0,0,0,0,1,4,4,20,8,1,1,2,3,6,3,"5,8"
Passo Fundo,1,1,1,26,2,1,1,0,0,0,0,1,5,"6,5",30,6,2,1,1,,5,3,"5,8"
Erechim,1,1,2,,2,2,0,1,1,0,0,1,2,19,40,52,1,1,1,,4,2,"5,8"
Passo Fundo,2,1,2,28,2,2,0,1,1,0,0,1,6,10,40,39,2,1,1,,4,2,"5,8"
Erechim,1,1,1,48,2,1,1,0,0,0,0,1,10,20,,33,2,1,1,,2,2,"5,8"
Marau,2,1,1,28,2,2,1,0,1,0,0,1,3,4,40,26,1,1,1,,6,2,"5,8"
Getúlio Vargas,2,1,2,34,2,2,1,0,1,0,0,2,"0,7",2,40,25,1,1,1,,5,2,"5,8"
Getúlio Vargas,1,1,2,42,2,2,0,0,1,0,0,1,9,24,20,22,1,1,1,,5,2,"5,8"
Espumoso,2,1,2,47,2,1,0,0,1,0,0,1,17,28,40,17,1,1,1,,5,2,"5,8"
Passo Fundo,2,1,1,31,2,2,1,0,0,0,0,1,7,16,30,15,1,1,2,5,5,2,"5,8"
Sananduva,2,1,2,53,2,2,0,0,1,0,0,1,18,35,20,11,1,1,1,,6,2,"5,8"
Passo Fundo,2,3,3,32,2,2,1,1,1,1,0,2,9,14,40,120,1,1,2,7,4,1,"5,8"
Marau,1,1,2,52,2,2,0,1,0,0,0,1,2,22,20,58,1,1,2,60,2,1,"5,8"
Marau,1,1,2,57,2,2,0,1,1,0,0,1,3,,40,35,1,1,2,3,4,1,"5,8"
Espumoso,2,1,2,54,2,2,0,1,0,0,0,1,18,,20,30,1,1,2,30,1,1,"5,8"
Ibirubá,1,1,2,40,2,2,1,0,1,0,0,1,14,18,22,49,1,1,1,,5,5,6
Marau,1,1,2,32,2,1,0,0,1,0,0,2,"0,2",1,20,47,2,1,1,,6,5,6
Getúlio Vargas,2,1,2,30,2,3,0,1,0,0,0,1,5,7,60,41,1,1,1,,2,5,6
Espumoso,1,1,2,55,2,1,1,0,0,0,0,1,20,20,20,21,1,1,1,,7,5,6
Marau,1,1,2,36,2,2,0,0,1,0,0,1,5,7,20,47,1,1,1,,4,4,6
Sananduva,1,1,2,34,2,2,0,1,0,0,0,1,8,10,40,30,1,1,1,,4,4,6
Tapejara,2,1,1,27,2,1,1,0,0,0,0,1,3,8,30,21,1,1,1,,2,4,6
Passo Fundo,2,1,2,48,2,2,0,1,0,0,0,1,3,26,60,35,1,1,1,,2,3,6
Selbach,1,1,2,38,2,2,0,1,0,0,0,1,4,4,42,20,1,1,1,,5,3,6
Sananduva,,,,47,2,2,0,0,1,0,0,1,7,28,40,,1,1,2,,4,3,6
Sananduva,1,1,1,39,2,2,1,0,0,0,0,3,7,7,40,,1,1,1,,5,3,6
Erechim,1,1,2,40,2,2,0,1,0,0,0,1,7,7,24,137,,1,1,,2,2,6
Erechim,2,1,2,30,1,3,0,1,0,0,0,1,6,6,20,137,1,1,1,,1,2,6
Erechim,2,1,2,36,2,1,1,0,0,0,0,1,5,5,20,71,1,1,1,,5,2,6
Passo Fundo,1,3,4,46,2,2,0,1,1,1,0,2,5,17,40,64,1,1,1,,3,2,6
Erechim,1,1,2,33,2,2,0,0,1,0,0,1,5,5,25,57,1,2,1,,4,2,6
Passo Fundo,1,1,2,54,2,2,0,0,1,0,0,1,28,28,40,37,2,2,1,,6,2,6
Espumoso,2,1,2,43,2,2,0,1,0,0,0,1,9,23,20,36,1,1,2,3,6,2,6
Passo Fundo,2,1,2,40,2,3,0,1,1,0,0,1,7,18,40,29,1,1,2,2,2,2,6
Passo Fundo,1,1,1,31,2,2,1,0,0,0,0,1,"1,5",5,30,9,2,1,1,,4,2,6
Marau,1,1,2,30,2,2,1,1,1,0,0,2,1,12,40,58,1,1,1,,4,1,6
Tapejara,1,1,1,31,2,1,1,0,0,0,0,1,4,6,30,30,1,2,1,,4,1,6
Passo Fundo,1,1,2,32,2,2,0,1,0,1,0,1,2,5,40,20,1,1,2,15,2,1,6
Passo Fundo,1,1,1,39,2,2,1,0,0,0,0,,10,15,,14,2,1,1,,2,1,6
Ibirubá,2,2,2,,2,2,1,0,1,0,0,1,15,23,40,23,2,1,2,2,7,5,"0,4"
Passo Fundo,1,1,1,,2,2,1,0,0,0,0,1,6,16,30,6,1,1,1,,6,5,"2,4"
Passo Fundo,1,1,2,,,1,0,1,0,0,0,1,14,30,20,,1,1,1,,6,5,"2,4"
Erechim,1,1,2,,2,2,0,0,1,0,0,1,15,,20,60,1,1,1,,,5,"4,4"
Passo Fundo,1,3,3,,1,2,0,0,0,1,0,1,9,19,14,,1,1,1,,7,4,"2,4"
Erechim,1,1,2,,2,2,0,0,1,0,0,2,"0,5",,20,60,1,1,1,,7,4,"3,2"
Getúlio Vargas,2,1,2,,1,2,0,1,1,1,0,1,22,44,40,,1,1,1,,7,4,"3,8"
Tapejara,1,1,2,,,2,1,0,1,0,0,2,3,10,20,45,2,1,1,,7,4,"5,4"
Erechim,1,1,1,,2,2,1,0,0,0,0,1,12,,20,20,1,1,1,,6,4,"1,2"
Erechim,2,1,2,,2,2,0,1,0,0,0,1,1,8,40,,1,1,2,15,6,4,"1,6"
Erechim,1,1,2,,2,1,1,0,1,0,0,1,3,,40,60,1,1,1,,6,4,"1,8"
Erechim,1,1,1,,2,2,1,0,0,0,0,1,5,,20,26,1,1,1,,6,4,"2,2"
Erechim,1,1,1,,2,2,1,0,0,0,0,1,5,5,40,26,1,1,1,,6,4,"3,2"
Erechim,1,1,6,,1,1,,,,,,1,13,13,30,29,1,1,1,,6,4,"3,6"
Passo Fundo,2,1,1,,2,2,1,1,1,0,0,1,"1,5",,50,16,1,1,2,30,6,4,"4,4"
Marau,2,1,2,,2,2,0,1,0,0,0,1,3,10,8,35,1,1,1,,6,4,"5,2"
Chapada,1,1,1,,2,1,1,0,0,0,0,1,"0,5",24,20,15,1,1,1,,5,4,"1,8"
Marau,2,1,1,,2,2,1,0,0,0,0,2,10,16,40,20,2,1,1,,4,4,"3,4"
Ibirubá,2,2,4,,2,2,0,1,0,1,0,2,,,37,33,1,1,1,,4,4,"3,6"
Espumoso,1,1,2,,2,2,0,1,0,0,0,1,20,,20,50,1,1,1,,4,4,"5,2"
Passo Fundo,1,3,4,,2,2,0,0,1,0,0,1,3,25,22,,2,1,1,,7,3,"1,4"
Tapejara,1,,,,2,2,0,0,1,0,0,2,2,,20,45,1,1,1,,7,3,"2,2"
Tapejara,2,1,2,,2,2,1,1,0,0,0,1,13,13,20,16,1,1,1,,6,3,"1,4"
Passo Fundo,,1,2,,,,,,,,,1,14,36,40,18,2,1,1,,6,3,"1,8"
Ibirubá,1,1,2,,2,2,0,1,1,0,0,1,18,18,22,12,,1,2,,6,3,"2,4"
Tio Hugo,1,1,2,,,2,1,0,0,0,0,1,6,6,44,4,1,1,1,,6,3,"2,4"
Ibirubá,,2,2,,,,,,,,,1,26,,40,23,2,1,1,,6,3,"2,6"
Estação,1,1,2,,2,1,0,1,0,0,0,1,4,,40,,1,1,1,,6,3,3
Espumoso,1,1,1,,2,3,1,0,0,0,0,1,9,14,20,,1,1,2,,6,3,"3,4"
Passo Fundo,1,3,5,,2,1,1,0,0,0,0,1,2,,20,60,1,1,1,,6,3,"4,4"
Espumoso,1,1,2,,2,2,0,1,1,1,0,1,4,24,18,50,1,1,1,,6,3,"4,4"
Passo Fundo,1,3,3,,2,2,0,0,0,1,0,1,20,,24,100,2,1,1,,6,3,"4,8"
Chapada,1,1,2,,2,6,1,0,1,0,0,1,3,14,40,36,1,1,1,,5,3,2
Passo Fundo,1,3,4,,,,,,,,,,,,,,,,,,5,3,"2,8"
Tio Hugo,2,1,2,,2,2,0,1,1,0,0,1,7,24,40,18,1,1,1,,5,3,"4,2"
Passo Fundo,1,1,1,,2,2,1,0,0,0,0,1,12,29,30,19,2,1,1,,4,3,6
Tapejara,2,1,2,,2,1,0,0,1,0,0,2,"0,33",4,12,55,1,1,1,,0,3,0
Erechim,,1,1,,2,2,1,0,0,0,0,1,6,13,40,30,1,1,1,,6,2,"5,2"
Erechim,2,1,1,,2,2,1,0,0,0,0,1,3,29,8,,1,2,1,,6,2,"5,4"
Erechim,1,1,1,,2,1,1,0,1,0,0,1,7,7,40,20,1,1,1,,4,2,"3,6"
Marau,2,1,2,,2,2,0,1,0,0,0,1,24,30,40,,1,1,2,13,3,2,"4,2"
Erechim,1,1,2,,2,2,0,0,1,0,0,1,10,19,20,52,1,1,1,,2,2,6
Erechim,1,1,2,,5,2,1,0,0,1,0,1,22,39,20,83,1,1,1,,7,4,0
Getúlio Vargas,2,1,1,21,2,5,1,0,1,0,0,2,3,4,30,,1,1,1,,6,5,"1,8"
Erechim,1,1,1,21,2,2,1,0,0,0,0,1,5,8,40,34,2,1,1,,6,5,6
Tapera,1,1,2,21,2,,1,0,0,0,0,1,2,3,40,39,1,1,1,,7,4,"3,4"
Tio Hugo,2,1,2,21,2,1,0,1,0,0,0,1,"0,41","0,75",16,,1,1,1,,5,4,2
Erechim,1,1,1,21,2,1,1,0,1,0,0,1,2,2,40,34,1,1,1,,5,4,3
Erechim,1,1,5,21,2,5,0,0,1,0,0,1,2,4,40,51,2,1,1,,5,4,"3,8"
Tapera,1,1,2,21,2,5,1,0,0,0,0,1,1,1,40,39,1,1,1,,4,4,"3,2"
Passo Fundo,1,3,5,21,2,5,1,0,0,1,0,1,"0,16",3,44,97,1,1,1,,4,4,"3,2"
Tapejara,1,1,1,21,2,1,1,0,0,0,0,2,1,2,20,8,1,1,1,,6,3,"3,6"
Passo Fundo,1,1,2,21,1,5,0,1,1,0,0,2,1,1,30,26,2,1,1,,5,3,"4,4"
Erechim,1,2,5,22,2,5,1,0,0,0,0,2,"0,3",4,20,30,1,1,2,1,7,5,"2,2"
Tapera,1,1,1,22,2,5,0,0,1,0,0,2,1,3,20,,,1,1,,6,5,1
Tio Hugo,2,1,2,22,2,1,0,1,0,0,0,2,"0,25","0,5",16,,1,1,1,,6,5,"1,4"
Chapada,1,1,1,22,1,5,1,0,0,0,0,1,"0,5",5,40,4,2,1,1,,5,5,"1,8"
Tapejara,1,1,2,22,2,1,0,0,1,0,0,2,1,4,20,16,2,1,1,,5,4,"3,2"
Chapada,2,1,2,22,2,1,0,0,1,0,0,2,3,3,40,36,1,1,1,,5,3,"2,2"
Erechim,1,1,2,22,2,1,0,0,1,0,0,1,"0,5",4,40,52,1,1,1,,6,2,"4,4"
Passo Fundo,2,3,5,23,2,1,0,0,1,0,0,1,1,1,10,60,2,1,1,,7,5,"2,6"
Getúlio Vargas,1,1,5,23,2,1,0,1,0,0,0,2,"0,25","0,58",20,30,1,1,1,,7,5,"3,2"
Tapejara,1,1,2,23,2,6,1,0,0,0,0,2,1,3,20,36,1,1,1,,7,5,"3,8"
Tapejara,2,1,2,23,2,5,0,1,0,0,0,2,,,20,45,1,1,1,,6,5,"1,2"
Tapejara,2,1,1,23,2,5,1,0,0,0,0,2,1,1,30,38,1,1,1,,7,4,"0,4"
Passo Fundo,1,3,5,23,2,1,0,0,1,0,0,1,"0,25",6,30,97,1,1,1,,7,4,"0,6"
Getúlio Vargas,1,1,1,23,2,2,1,0,0,0,0,1,1,2,40,15,2,1,1,,6,4,"0,4"
Passo Fundo,1,3,5,23,2,5,1,0,1,0,0,1,"0,58",7,42,97,1,1,1,,6,4,"1,2"
Tapejara,1,1,2,23,1,1,1,1,1,1,0,1,13,20,44,36,1,1,2,90,6,4,"3,6"
Getúlio Vargas,2,1,,23,2,1,1,0,0,0,0,2,"0,08",1,16,40,1,1,1,,3,4,"4,8"
Erechim,,1,6,23,1,6,,,,,,2,1,3,20,29,1,1,1,,1,4,"1,2"
Passo Fundo,2,3,5,23,1,1,0,1,0,1,0,1,1,2,,97,1,1,1,,7,3,"3,8"
Tapejara,1,1,1,23,2,2,1,0,0,0,0,2,2,6,6,12,1,1,2,1,2,3,3
Passo Fundo,2,3,5,23,1,7,0,0,1,0,0,1,4,6,15,60,1,1,1,,6,2,"4,8"
Tapejara,1,1,1,23,2,1,1,0,0,0,0,2,1,5,30,8,1,1,2,2,5,2,"3,2"
Passo Fundo,1,3,4,23,2,7,0,1,0,1,0,1,1,"1,5",25,,1,1,2,1,3,2,"3,8"
Tio Hugo,1,1,2,23,2,2,1,0,0,0,0,2,2,2,20,4,1,1,1,,2,2,"1,6"
Tapejara,1,1,1,24,2,5,1,0,0,0,0,2,2,6,30,18,1,1,2,180,7,5,0
Estação,1,1,1,24,2,2,1,0,0,0,0,2,"1,5",4,4,12,1,1,1,,7,5,0
Tapejara,1,1,2,24,2,6,0,1,0,0,0,2,1,2,20,60,2,1,1,,7,5,"0,2"
Ibirubá,1,2,2,24,2,5,0,0,1,0,0,2,5,5,40,26,1,1,1,,7,5,"0,6"
Tapejara,1,1,2,24,2,6,1,0,1,0,0,2,1,3,40,36,1,1,1,,7,5,"2,2"
Passo Fundo,1,3,5,24,2,2,1,0,0,0,0,1,"0,16",6,25,60,1,1,1,,7,4,0
Passo Fundo,1,3,5,24,2,1,1,0,0,0,0,2,2,8,25,60,1,1,1,,6,4,"0,4"
Passo Fundo,1,3,5,24,2,6,1,0,0,0,0,3,"0,16",5,25,60,1,1,1,,6,4,"0,6"
Passo Fundo,2,3,5,24,2,2,1,0,0,0,0,1,"0,58",6,13,,1,1,1,,6,4,1
Taquaruçu do Sul,2,1,1,24,2,2,1,0,1,0,0,1,9,2,22,15,2,1,1,,6,4,"1,8"
Estação,2,1,1,24,2,6,1,0,1,0,0,1,1,2,22,10,1,1,1,,6,4,"3,6"
Estação,1,1,2,24,2,2,1,1,1,0,0,1,"0,41",2,22,20,1,1,1,,6,4,5
Passo Fundo,1,3,4,24,2,6,0,0,1,0,0,1,2,1,27,,1,1,1,,5,4,"0,8"
Erechim,2,1,1,24,2,2,1,0,0,0,0,1,2,7,40,34,1,1,1,,5,4,3
Tapera,1,1,5,24,2,2,0,0,1,0,0,1,2,5,20,24,1,1,2,2,5,4,"3,4"
Ibirubá,1,1,1,24,2,1,1,0,0,0,0,2,2,2,8,12,1,1,1,,5,4,"4,6"
Tapejara,2,1,2,24,2,2,0,1,0,0,0,2,1,6,50,45,1,1,1,,4,4,3
Passo Fundo,1,3,5,24,1,7,0,1,0,0,0,1,2,4,4,60,1,1,1,,4,4,"3,8"
Passo Fundo,1,1,1,24,2,1,1,0,0,0,0,1,1,4,30,16,1,1,1,,5,3,"3,4"
Tapejara,2,1,1,24,2,6,1,1,0,1,0,1,5,8,30,14,1,1,1,,4,3,"3,75"
Tapejara,1,1,2,24,2,2,1,1,1,0,0,2,3,7,40,16,1,1,1,,3,3,"3,6"
Erechim,1,1,1,24,2,2,1,0,1,0,0,1,3,9,40,122,1,1,1,,6,2,1
Passo Fundo,1,3,5,24,2,2,1,1,1,1,0,1,3,7,40,97,1,1,2,2,6,2,"2,2"
Passo Fundo,1,1,2,24,2,5,0,0,1,0,0,2,"0,25","0,25",30,26,1,1,1,,6,2,"2,2"
Passo Fundo,2,3,5,24,2,1,0,1,1,1,0,1,2,7,40,97,1,1,1,,5,2,5
Passo Fundo,1,3,5,24,,6,0,0,1,0,0,1,1,7,22,60,1,1,2,7,4,2,"2,8"
Erechim,1,1,2,25,2,1,0,0,1,0,0,1,"0,25",,20,52,1,1,1,,7,5,"1,4"
Tapejara,1,1,1,25,2,5,1,0,0,0,0,2,"0,66",11,30,18,1,1,1,,7,5,"2,4"
Passo Fundo,1,3,4,25,2,2,0,0,1,0,0,1,"0,25",5,20,,1,1,1,,6,5,"1,8"
Erechim,1,1,2,25,2,2,1,0,1,0,0,1,4,7,40,83,1,1,1,,6,5,"3,4"
Tapejara,1,1,1,25,2,5,1,0,1,0,0,2,1,,6,14,2,1,1,,7,4,"0,4"
Ibiaçá,2,1,2,25,1,3,0,1,0,0,0,2,2,5,32,30,1,1,1,,6,4,"2,8"
Sananduva,1,2,,25,2,2,0,0,0,1,0,2,5,5,40,48,1,1,1,,6,4,3
Erechim,1,1,6,25,1,6,,,,,,2,1,,20,29,1,1,1,,6,4,"3,6"
Ibirubá,1,1,1,25,2,1,1,0,0,0,0,1,4,4,40,15,1,1,2,30,6,4,"5,2"
Erechim,1,1,1,25,2,2,1,0,0,0,0,1,2,3,40,20,1,1,1,,6,4,"5,6"
Erechim,1,4,4,25,2,7,1,0,0,0,0,1,7,7,8,30,2,1,1,,5,4,"2,8"
Erechim,1,1,2,25,2,1,0,1,1,0,0,1,4,9,40,83,2,1,1,,3,4,"2,6"
Tio Hugo,2,1,2,25,2,2,0,0,1,0,0,1,1,5,44,,1,1,1,,6,3,"3,8"
Erechim,1,1,2,25,2,7,0,0,1,0,0,1,5,5,40,83,1,1,1,,4,3,"1,8"
Passo Fundo,1,3,5,25,2,5,0,0,1,0,0,1,"0,16",10,44,97,1,1,1,,4,3,"2,2"
Sananduva,2,1,1,25,2,2,1,0,0,0,0,1,2,7,20,11,1,1,1,,4,3,5
Passo Fundo,2,3,4,25,2,3,0,1,0,1,0,1,2,5,38,,1,1,1,,4,3,"5,2"
Tapejara,1,1,1,25,2,2,1,0,0,0,0,1,9,9,30,12,1,2,1,,5,2,5
Erechim,1,1,5,25,2,6,0,0,1,0,0,2,3,6,20,51,2,1,1,,5,2,5
Erechim,1,1,1,25,2,2,1,0,0,0,0,1,3,4,20,20,2,1,1,,3,2,"5,4"
Passo Fundo,2,3,3,26,2,3,0,1,0,1,0,1,3,8,17,,1,2,1,,7,5,"1,4"
Passo Fundo,1,3,2,26,2,5,0,1,0,0,0,2,1,5,28,23,1,1,1,,6,5,"3,2"
Ibirubá,1,1,2,26,2,2,0,0,1,0,0,1,5,11,44,48,2,1,1,,6,5,4
Tapejara,2,1,1,26,2,6,1,0,0,0,0,2,"0,5",2,20,,1,1,1,,6,5,4
Marau,1,1,2,26,2,1,0,1,1,0,0,2,"0,66",4,20,50,1,1,1,,3,5,"3,8"
Sananduva,1,1,5,26,2,2,1,0,0,0,0,1,4,4,40,45,2,1,1,,7,4,"1,8"
Passo Fundo,2,3,5,26,1,1,0,1,0,1,0,1,6,6,52,97,1,1,1,,7,4,"1,8"
Passo Fundo,1,1,1,26,2,2,1,0,0,0,0,1,6,8,44,11,1,1,1,,7,4,"2,8"
Getúlio Vargas,2,1,5,26,1,2,0,1,0,0,0,2,"0,66","0,66",20,22,1,1,1,,7,4,"2,8"
Ibirubá,1,1,1,26,2,,,,,,,2,,,40,16,1,1,1,,6,4,0
Erechim,1,1,5,26,2,2,1,0,0,0,0,1,2,3,40,51,1,1,1,,6,4,"1,6"
Erechim,1,1,1,26,2,2,1,0,0,0,0,1,4,8,40,17,2,1,2,10,6,4,"2,4"
Sananduva,1,1,5,26,2,2,0,1,1,0,0,1,3,5,20,45,1,1,1,,6,4,"2,8"
Erechim,1,1,2,26,2,2,0,0,1,0,0,1,2,4,20,52,1,1,1,,6,4,"3,4"
Erechim,2,1,1,26,2,2,0,1,0,0,0,1,6,6,20,40,1,1,1,,5,4,"1,6"
Chapada,2,1,1,26,2,2,1,0,0,0,0,1,"0,5",4,20,5,1,1,1,,5,4,"4,4"
Passo Fundo,1,3,4,26,2,2,1,0,0,0,0,1,5,10,22,80,1,1,1,,4,4,"0,6"
Erechim,1,4,4,26,2,2,1,0,0,0,0,1,5,5,40,30,1,1,1,,7,3,"4,6"
Ibirubá,1,1,1,26,2,,1,0,0,0,0,1,3,3,40,36,1,1,1,,6,3,"1,2"
Tapejara,1,1,1,26,2,2,1,0,0,0,0,2,"0,58",8,30,40,1,1,1,,6,3,"1,4"
Ibirubá,1,1,1,26,2,2,1,0,0,0,0,1,6,,40,2,1,1,1,,6,3,"5,2"
Erechim,1,1,1,26,2,2,1,0,0,0,0,1,4,4,20,35,1,1,1,,5,3,"1,4"
Passo Fundo,1,3,2,26,3,0,1,0,0,0,0,1,2,5,17,23,1,1,1,,4,3,3
Ibirubá,1,1,1,26,2,1,1,0,0,0,0,1,"0,33",7,40,14,1,1,1,,4,3,"4,8"
Passo Fundo,2,3,5,26,2,3,0,1,0,1,0,1,"0,66",5,42,,2,1,1,,4,3,"5,4"
Erechim,1,1,2,26,2,2,1,0,1,0,0,1,6,6,40,83,1,1,2,5,2,3,"4,8"
Passo Fundo,2,3,5,26,2,3,0,1,0,0,0,1,"0,25",1,8,,1,1,1,,5,2,"2,8"
Erechim,1,1,1,26,2,3,0,0,0,1,0,1,2,2,40,96,1,1,1,,5,2,"5,6"
