,Idx,Código,Município,Escola_resp_Quest,Idade,Formação,Tempo_Escola,Tempo_profissão,Hrs_semanais,Numero_professores,Supervisiona,Licença_2semanas,Licença_ano,trab1,trab2,trab3,trab4,trab5,trab6,trab7,trab8,trab9,trab10,trab11,trab12,trab13,trab14,trab15,trab16,trab17,trab18,trab19,trab20,trab21,trab22,trab23,trab24,trab25,trab26,trab27,trab28,trab29,trab30,trab31,trab32,atitrab1,atitrab2,atitrab3,atitrab4,atitrab5,atitrab6,atitrab7,atitrab8,atitrab9,atitrab10,atitrab11,atitrab12,atitrab13,atitrab14,atitrab15,atitrab16,atitrab17,atitrab18,atitrab19,atitrab20,be1,be2,be3,be4,be5,be6,be7,be8,be9,be10,be11,be12,be13,be14,be15,be16,be17,be18,be19,bes1,bes2,bes3,bes4,bes5,saude1,saude2,saude3,saude4,MPS,IPPS,IOPS,ISP,CAFC,VSP,ARE,DED,ARS,AED,Engagement,Exaustao,Cinismo,SCV,Saude,Escolcod,NomeEscola,Munic,Indiv,Populacao,PIB,IDHM,PIBPer,INVperc,Turma,Alunos,Professores,Investimento,TAMesc
1922,924,JADO882,Marau,E.M.E.F. Hygino P,30.0,2.0,1.0,8.0,20.0,47.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,1.0,1.0,5.0,7.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,1.0,5.0,7.0,7.0,3.33,6.67,6.0,5.0,5.0,1.0,2.6,3.6,5.33,1.0,1.2,6.2,4.0,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1923,925,JASA071,Marau,E.M.E.F. Hygino P,37.0,3.0,1.0,20.0,40.0,47.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,4.33,7.0,7.0,7.0,4.8,3.0,3.2,4.4,6.0,1.4,1.2,6.0,5.0,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1924,946,MAAN696,Marau,E.M.E.F. Hygino P,61.0,7.0,1.0,5.0,40.0,47.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,2.0,7.0,6.33,4.33,6.0,7.0,7.0,4.8,4.4,4.0,4.2,5.22,5.0,1.2,4.4,3.25,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1925,950,MAEU521,Marau,E.M.E.F. Hygino P,32.0,1.0,0.2,1.0,20.0,47.0,2.0,1.0,1.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,6.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,4.0,2.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,2.0,5.0,5.0,5.0,5.0,5.5,5.67,7.0,7.0,7.0,4.33,4.8,3.0,2.4,3.8,5.0,6.0,4.8,5.4,5.0,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1926,955,MAJU808,Marau,E.M.E.F. Hygino P,40.0,2.0,1.0,15.0,60.0,47.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,7.0,7.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,1.0,5.0,4.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,6.33,5.67,6.67,5.17,7.0,5.0,4.4,2.2,5.0,4.2,4.89,1.6,0.0,6.2,4.0,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1927,970,MEJO,Marau,E.M.E.F. Hygino P,56.0,2.0,5.0,7.0,20.0,47.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,1.0,1.0,1.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,3.0,3.0,7.0,6.33,5.67,6.5,7.0,6.0,5.0,3.4,4.0,4.8,6.0,0.8,0.0,6.0,3.25,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1928,979,NEAN987,Marau,E.M.E.F. Hygino P,30.0,2.0,1.0,8.0,40.0,47.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,5.0,5.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,6.5,5.33,4.33,5.5,4.5,3.33,4.8,2.6,2.2,3.0,4.56,4.0,1.2,2.4,2.5,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1929,984,NEJO271,Marau,E.M.E.F. Hygino P,27.0,2.0,2.0,2.0,60.0,47.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,7.0,6.0,6.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,3.0,5.0,5.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,4.0,7.0,5.0,5.33,5.67,4.0,6.33,4.8,1.0,4.0,4.4,6.0,2.4,1.2,7.0,4.25,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1930,985,NEJO811,Marau,E.M.E.F. Hygino P,34.0,2.0,4.0,10.0,40.0,47.0,1.0,1.0,1.0,7.0,6.0,6.0,5.0,,5.0,6.0,5.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,6.0,6.0,7.0,5.0,3.0,4.0,2.0,2.0,5.82,6.67,5.0,5.0,4.5,3.33,4.0,2.4,2.0,3.8,4.78,2.0,0.8,6.2,2.75,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1931,991,ONAN199,Marau,E.M.E.F. Hygino P,41.0,1.0,6.0,6.0,32.0,47.0,1.0,1.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,6.0,6.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,6.0,5.67,6.0,5.5,6.0,6.0,3.8,3.2,2.4,3.0,4.63,2.0,0.2,5.6,2.0,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1932,999,SOAN104,Marau,E.M.E.F. Hygino P,40.0,2.0,1.0,17.0,40.0,47.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,2.0,2.0,2.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,6.5,5.67,4.0,5.5,5.5,4.33,4.2,3.0,3.4,3.0,4.56,3.0,0.0,4.4,3.75,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1933,1000,SODE297,Marau,E.M.E.F. Hygino P,23.0,1.0,1.0,6.0,20.0,47.0,1.0,1.0,2.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,1.0,4.0,1.0,7.0,7.0,6.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,5.0,5.0,4.0,5.0,5.0,6.92,6.0,6.67,6.33,7.0,4.67,4.4,2.4,3.0,4.0,5.33,2.6,0.2,4.8,4.75,58.0,E.M.E.F. Hygino P,8.0,433.0,44161.0,42104.57,0.774,0.95,2943.85,16.0,286.0,26.0,130003479.18000002,2.73
1934,863,ANVA492,Marau,E.M.E.F. Vinte e ,32.0,2.0,0.5,15.0,60.0,42.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,6.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.67,5.33,5.67,5.17,5.0,5.0,3.4,3.4,3.8,3.6,5.22,2.4,1.8,5.0,4.75,72.0,E.M.E.F. Vinte e ,8.0,436.5,44161.0,42104.57,0.774,0.95,2943.8499999999995,23.0,286.0,34.0,130003479.18000004,3.43
1935,864,ARJO512,Marau,E.M.E.F. Vinte e ,45.0,1.0,0.08,5.0,20.0,42.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,7.0,7.0,,6.0,7.0,4.0,2.0,6.0,,7.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,4.0,2.0,2.0,2.0,5.0,3.0,7.0,6.33,6.0,6.2,7.0,5.67,3.6,3.6,3.4,3.6,6.0,2.2,0.0,3.0,3.0,72.0,E.M.E.F. Vinte e ,8.0,436.5,44161.0,42104.57,0.774,0.95,2943.8499999999995,23.0,286.0,34.0,130003479.18000004,3.43
