Código;Município;escola1;Numero_escolas_trabalha;Escola_resp_Quest;Tipo_escola;Niveis_escola;Idade;Sexo;Formação;Área_Ed_Inf;Área_EF_finais;Área_EF_iniciais;Área_Ens_Médio;Área_Ens_Téc;Contrato;Outro_qual;Tempo_Escola;Tempo_profissão;Hrs_semanais;Numero_professores;Supervisiona;Licença_2semanas;Porquê_A;Licença_ano;Quantotempo;Porquê_B;trab1;trab2;trab3;trab4;trab5;trab6;trab7;trab8;trab9;trab10;trab11;trab12;trab13;trab14;trab15;trab16;trab17;trab18;trab19;trab20;trab21;trab22;trab23;trab24;trab25;trab26;trab27;trab28;trab29;trab30;trab31;trab32;atitrab1;atitrab2;atitrab3;atitrab4;atitrab5;atitrab6;atitrab7;atitrab8;atitrab9;atitrab10;atitrab11;atitrab12;atitrab13;atitrab14;atitrab15;atitrab16;atitrab17;atitrab18;atitrab19;atitrab20;be1;be2;be3;be4;be5;be6;be7;be8;be9;be10;be11;be12;be13;be14;be15;be16;be17;be18;be19;bes1;bes2;bes3;bes4;bes5;saude1;saude2;saude3;saude4;MPS;IPPS;IOPS;ISP;CAFC;VSP;ARE;DED;ARS;AED;Engagement;Exaustao;Cinismo;SCV;Saude
IVJO931;Passo Fundo;E.M.E.F. Fredolino Chimango;2;E.M.E.F. Fredolino Chimango;1;2;36;1;2;0;1;0;1;0;1;;5,000000000000000;18,000000000000000;15,000000000000000;13;1;1;;1;;;7;7;7;7;7;7;5;5;7;7;7;7;4;5;6;4;6;4;6;5;4;4;4;4;2;2;2;4;4;4;4;4;4;2;3;4;4;2;3;4;3;3;3;4;4;3;4;4;3;2;3;3;3;3;3;3;4;6;3;3;2;5;5;4;5;5;2;2;3;3;3;4;4;4;4;6;4;3;4;4;6,67;5,00;4,67;4,50;4,00;4,00;3,60;2,40;3,20;3,80;3,33;4,80;2,60;4,40;3,75
IVRU481;Passo Fundo;E.M.E.F. Professor Arno Otto Kiehl;1;E.M.E.F. Professor Arno Otto Kiehl;1;2;50;2;2;0;1;1;0;0;1;;#NULO!;15,000000000000000;20,000000000000000;32;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;5;#NULO!;5;5;5;4;4;4;5;4;5;4;5;5;5;5;4;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;3;1;0;0;0;0;0;3;3;4;4;4;3;3;3;3;7,00;6,67;6,00;6,17;6,00;6,00;4,80;4,50;4,80;4,60;4,56;3,80;0,00;3,60;3,00
IZJO553;Passo Fundo;E.M.E.I Pe. Pergentino Dalmagro;1;E.M.E.I Pe. Pergentino Dalmagro;1;1;32;2;1;1;0;0;0;0;1;;0,080000000000000;0,080000000000000;44,000000000000000;11;1;1;;1;;;7;7;7;7;3;7;7;6;7;7;7;7;6;4;3;4;7;7;7;6;7;7;7;7;2;2;2;6;6;6;6;6;4;3;1;3;4;3;4;3;4;3;5;3;3;3;4;3;3;3;5;4;5;5;5;5;5;6;5;6;6;3;3;4;5;3;0;0;3;1;1;3;5;6;5;2;3;4;4;3;6,58;4,33;6,00;6,83;6,00;6,00;3,60;3,00;3,80;3,20;5,33;3,60;1,00;4,20;3,50
JACL031;Passo Fundo;E.M.E.I. Francisco Luiz Biancini;1;E.M.E.I. Francisco Luiz Biancini;1;1;26;2;2;1;0;0;0;0;1;;2,000000000000000;10,000000000000000;30,000000000000000;14;1;1;;2;3 DIAS;MAL ESTAR, LABIRINTITE.;7;7;7;7;6;6;5;5;6;6;6;6;6;7;5;4;3;3;6;6;6;6;6;6;2;2;2;5;6;6;5;5;4;2;2;5;5;2;1;4;4;1;2;4;3;3;1;4;4;2;5;4;4;4;4;4;6;5;5;6;5;3;5;3;0;3;3;5;5;0;0;5;3;5;6;6;3;2;3;3;6,17;6,00;3,33;6,00;5,50;5,33;4,00;2,00;2,20;4,20;4,78;2,80;2,60;5,00;2,75
JAHU075;Passo Fundo;E.M.E.I. Ari Schaeffer;1;E.M.E.I. Ari Schaeffer;1;1;26;2;6;1;0;0;0;0;1;;3,500000000000000;9,000000000000000;56,000000000000000;15;1;1;;1;;;7;7;7;7;7;7;7;6;6;7;6;7;6;5;6;4;6;6;5;4;6;6;6;6;1;1;1;6;6;5;5;6;5;3;3;4;5;3;4;4;4;2;2;4;4;3;5;5;3;3;5;4;5;5;5;4;5;5;5;6;6;5;6;5;5;4;0;0;4;0;0;4;3;4;5;4;3;2;3;4;6,75;5,67;5,33;5,50;6,00;5,33;4,20;2,80;3,80;4,20;5,11;5,00;0,80;4,00;3,00
JEAN063;Passo Fundo;E.M.E.I. Cantinho da Ritinha;1;E.M.E.I. Cantinho da Ritinha;1;1;30;2;2;1;0;1;0;0;1;;2,000000000000000;9,000000000000000;11,000000000000000;10;1;1;;1;;;7;7;7;6;3;5;5;5;6;6;5;5;5;5;6;5;5;5;6;6;6;6;6;6;1;1;1;6;6;7;7;7;5;2;3;3;5;4;2;4;4;3;3;3;4;3;3;5;4;3;3;3;5;6;5;6;6;5;6;6;5;1;1;1;0;1;0;0;0;0;0;6;5;6;6;5;4;4;4;4;5,58;5,33;5,00;6,00;6,00;7,00;4,40;3,00;2,80;3,60;5,56;0,80;0,00;5,60;4,00
JEHE568;Passo Fundo;E.M.E.I André Zaffari;2;E.M.E.I André Zaffari;1;1;48;2;2;1;0;1;0;0;1;;#NULO!;20,000000000000000;30,000000000000000;20;2;1;;2;15;cirurgia;7;7;7;7;7;7;7;7;7;7;7;7;6;6;5;5;7;7;7;7;7;7;7;7;1;1;1;6;6;5;6;6;5;1;3;4;4;2;4;4;5;5;4;4;4;3;4;4;4;2;4;4;5;6;6;5;5;5;5;6;5;6;5;3;3;3;0;0;6;0;0;6;6;6;6;6;4;4;4;4;7,00;5,67;6,33;7,00;6,00;5,67;4,40;2,60;3,80;4,00;5,33;4,00;1,20;6,00;4,00
JOAL060;Passo Fundo;E.M.E.I. Santa Luzia;1;E.M.E.I. Santa Luzia;1;1;33;2;2;1;0;0;0;0;1;;5,000000000000000;12,000000000000000;30,000000000000000;16;1;1;;2;12;Fertilidade;7;6;7;7;6;7;7;6;6;7;5;6;5;5;4;4;6;4;7;7;7;6;6;6;1;1;1;7;7;6;6;7;5;3;2;5;5;4;3;4;5;5;3;3;5;3;1;4;3;3;5;5;5;5;5;5;6;6;5;6;6;1;5;1;0;0;0;0;3;0;0;5;4;7;6;7;3;2;2;2;6,42;4,67;4,67;6,50;7,00;6,33;4,60;3,60;2,80;4,20;5,44;1,40;0,60;5,80;2,25
JOAR062;Passo Fundo;E.M.E.F. Fredolino Chimango;2;E.M.E.F. Fredolino Chimango;1;2;44;2;2;0;0;1;1;0;1;;4,000000000000000;17,000000000000000;20,000000000000000;13;2;1;;1;;;7;7;7;6;6;6;6;6;7;7;6;6;5;5;5;7;6;7;6;6;5;6;5;5;2;1;1;6;5;6;6;6;5;4;2;2;4;4;2;3;4;2;3;2;5;3;2;2;4;3;4;4;5;5;5;5;6;6;5;6;6;3;5;3;5;2;0;0;3;0;0;6;5;6;5;3;3;3;4;4;6,42;5,00;6,67;5,50;5,50;6,00;4,40;3,20;2,60;2,60;5,44;3,60;0,60;5,00;3,50
JOAR788;Passo Fundo;E.M.E.F. Frederico Ferri;2;E.M.E.F. Frederico Ferri;1;2;40;2;2;1;0;1;0;0;1;;5,000000000000000;8,000000000000000;4,000000000000000;18;1;1;;1;;;7;7;7;6;7;7;7;7;7;7;6;6;6;6;6;4;6;7;7;6;6;6;6;6;1;1;1;7;7;6;6;6;5;2;5;5;5;2;5;5;5;1;4;3;5;3;3;1;3;4;5;5;5;6;5;6;6;6;6;6;6;2;2;2;2;4;0;0;0;1;0;4;4;6;6;5;4;4;3;3;6,75;6,00;5,67;6,17;7,00;6,00;4,60;2,40;4,40;3,80;5,78;2,40;0,20;5,00;3,50
